Sort Type: Merge Sort - By Priority Level (Descending)
KPI Code; Pillar Code; Current Progress; Target Year; Priority Level; Reporting Ministry; Quarterly Change; Priority Score;
AN-2.3-2;A;17.8;2033;5;MOD;9.7;100;
VS-2.3-9;V;20.4;2026;5;MOH;11.3;100;
VS-2.2-7;V;20.1;2026;5;MCI;5.9;100;
AN-3.2-8;A;19.2;2031;5;MOD;5.1;100;
VS-4.3-3;V;27.5;2029;5;MCY;6.7;100;
TE-4.2-2;T;24.0;2031;5;MOT;8.7;100;
AN-2.2-7;A;6.3;2031;5;MOD;12.3;100;
VS-4.3-9;V;12.5;2028;5;MCY;6.3;100;
TE-2.3-9;T;29.7;2029;5;MOC;7.6;100;
TE-2.1-8;T;21.4;2030;5;MOF;11.8;100;
AN-4.3-9;A;10.5;2034;5;MOC;9.3;100;
TE-1.1-3;T;24.0;2030;5;MOL;14.2;100;
AN-1.2-8;A;27.5;2032;5;MEW;6.5;100;
AN-3.1-9;A;29.0;2031;5;MOD;8.0;100;
AN-3.2-7;A;15.0;2032;5;MEW;9.2;100;
VS-3.2-4;V;29.2;2030;5;MOS;9.8;100;
VS-4.2-2;V;20.2;2030;5;MCI;14.5;100;
VS-3.1-8;V;10.4;2026;5;MOS;13.3;100;
VS-1.3-5;V;21.2;2030;5;MCY;13.5;100;
AN-2.2-8;A;14.7;2033;5;MFA;13.1;100;
AN-1.3-5;A;5.9;2034;5;MOI;7.4;100;
AN-5.3-5;A;5.4;2035;5;MEW;12.4;100;
AN-3.3-1;A;13.9;2030;5;MOD;7.8;100;
TE-5.3-5;T;22.8;2031;5;MOT;11.3;100;
VS-3.2-9;V;17.0;2028;5;MCI;8.9;100;
VS-4.1-7;V;15.0;2029;5;MCI;8.1;100;
AN-4.2-8;A;21.1;2034;5;MOI;13.8;100;
VS-5.2-9;V;14.9;2027;5;MCY;9.2;100;
TE-1.1-5;T;21.1;2031;5;MOF;11.8;100;
TE-5.3-8;T;29.9;2030;5;MOL;8.6;100;
TE-4.1-8;T;24.9;2031;5;MISA;13.1;100;
VS-3.2-4;V;28.2;2027;5;MCY;6.6;100;
VS-5.2-4;V;22.8;2030;5;MOS;8.5;100;
VS-4.1-8;V;29.5;2029;5;MOU;6.9;100;
AN-1.3-6;A;25.0;2034;5;MOI;12.1;100;
AN-5.1-9;A;13.4;2035;5;MFA;9.8;100;
VS-1.1-7;V;15.9;2029;5;MCY;9.3;100;
AN-1.3-6;A;24.0;2031;5;MFA;6.9;100;
VS-5.2-7;V;19.4;2026;5;MOH;14.2;100;
VS-2.1-2;V;14.7;2026;5;MOS;9.4;100;
AN-5.3-2;A;7.9;2032;5;MOC;12.5;100;
AN-1.1-3;A;19.9;2034;5;MOD;9.8;100;
TE-4.3-5;T;28.6;2031;5;MOF;14.6;100;
TE-5.1-3;T;29.8;2031;5;MISA;10.8;100;
VS-1.3-8;V;18.1;2026;5;MOH;9.6;100;
AN-1.1-1;A;12.1;2032;5;MEW;11.9;100;
AN-1.3-6;A;26.0;2032;5;MOI;12.5;100;
AN-4.3-8;A;25.5;2031;5;MOC;11.8;100;
TE-3.3-4;T;23.4;2031;5;MOL;13.5;100;
AN-5.3-1;A;13.5;2034;5;MOI;5.9;100;
AN-5.2-4;A;6.0;2035;5;MFA;11.5;100;
VS-1.3-6;V;18.0;2028;5;MCY;5.9;100;
AN-3.2-8;A;14.4;2034;5;MFA;12.7;100;
VS-1.1-8;V;16.1;2026;5;MCY;6.0;100;
TE-4.3-6;T;24.9;2029;5;MOT;9.1;100;
VS-2.3-4;V;27.5;2026;5;MOU;12.0;100;
AN-2.2-9;A;5.8;2033;5;MEW;9.9;100;
VS-3.2-6;V;16.4;2026;5;MCY;12.5;100;
VS-5.2-7;V;14.2;2026;5;MOS;6.7;100;
VS-2.2-8;V;15.6;2028;5;MOU;11.4;100;
AN-4.2-7;A;23.3;2030;5;MOD;12.7;100;
AN-1.1-9;A;26.5;2031;5;MOC;13.7;100;
AN-4.2-6;A;29.2;2032;5;MOC;12.1;100;
AN-5.3-6;A;7.1;2033;5;MEW;12.3;100;
TE-3.2-5;T;22.5;2031;5;MOT;8.6;100;
AN-1.2-5;A;10.9;2033;5;MFA;13.1;100;
AN-1.2-6;A;10.1;2033;5;MOI;13.3;100;
AN-3.2-8;A;28.5;2034;5;MOD;11.3;100;
VS-3.3-3;V;16.6;2030;5;MCI;8.8;100;
AN-4.2-2;A;16.6;2034;5;MOD;6.1;100;
AN-3.3-8;A;20.9;2034;5;MOD;5.8;100;
VS-5.2-7;V;13.2;2028;5;MCI;6.0;100;
VS-2.3-9;V;24.4;2029;5;MOS;12.3;100;
TE-3.3-4;T;20.8;2031;5;MOC;8.1;100;
VS-1.1-4;V;17.4;2026;5;MOU;7.6;100;
AN-4.3-4;A;18.9;2034;5;MOC;9.1;100;
AN-2.1-7;A;22.8;2034;5;MOI;6.8;100;
TE-1.2-1;T;28.0;2029;5;MISA;7.3;100;
AN-2.3-7;A;6.6;2031;5;MOI;14.7;100;
VS-2.2-2;V;24.1;2026;5;MOS;7.3;100;
VS-4.1-7;V;11.6;2029;5;MOU;9.5;100;
VS-4.1-2;V;28.9;2028;5;MOU;6.6;100;
TE-5.1-8;T;25.5;2030;5;MOL;5.7;100;
VS-1.2-5;V;13.3;2027;5;MOH;5.8;100;
AN-1.3-8;A;21.4;2035;5;MOC;6.5;100;
AN-4.2-9;A;21.8;2033;5;MOI;7.0;100;
VS-5.2-6;V;27.3;2027;5;MCI;7.8;100;
AN-2.3-7;A;26.0;2032;5;MOI;8.7;100;
AN-2.2-9;A;23.0;2030;5;MFA;10.3;100;
VS-3.1-4;V;29.4;2028;5;MCI;10.6;100;
AN-1.2-5;A;25.5;2034;5;MOD;10.3;100;
TE-2.2-2;T;29.5;2029;5;MOL;6.4;100;
AN-2.1-9;A;12.9;2030;5;MEW;10.3;100;
AN-3.3-3;A;19.4;2031;5;MFA;8.9;100;
TE-1.2-2;T;28.8;2030;5;MOT;8.4;100;
VS-1.3-8;V;11.7;2028;5;MCY;5.0;100;
TE-4.3-1;T;22.3;2029;5;MOT;11.1;100;
AN-3.3-7;A;25.6;2030;5;MOC;8.2;100;
VS-1.3-6;V;29.4;2026;5;MCY;12.1;100;
VS-4.2-5;V;23.0;2026;5;MCI;9.3;100;
AN-1.2-3;A;22.0;2034;5;MEW;8.4;100;
TE-5.3-7;T;28.7;2030;5;MOF;12.8;100;
AN-1.1-7;A;28.0;2035;5;MEW;11.9;100;
TE-2.3-6;T;22.1;2029;5;MOL;14.9;100;
AN-4.2-9;A;16.8;2034;5;MEW;9.4;100;
TE-5.3-8;T;29.0;2030;5;MOF;9.3;100;
AN-2.3-5;A;5.9;2032;5;MEW;14.9;100;
AN-2.1-6;A;14.8;2031;5;MOC;14.0;100;
TE-3.3-1;T;26.4;2029;5;MOF;8.0;100;
VS-3.1-5;V;25.5;2026;5;MCY;5.6;100;
TE-5.3-2;T;22.4;2030;5;MOL;11.6;100;
VS-5.3-3;V;20.4;2028;5;MOS;12.2;100;
AN-4.2-1;A;21.0;2034;5;MFA;5.7;100;
TE-5.2-3;T;23.6;2031;5;MOT;5.7;100;
AN-2.2-6;A;8.9;2030;5;MOI;9.7;100;
